,day,tokenid,tx_hash,price,__row_index
39,2024-04-17T18:00:00.000Z,1.1165162898240756e+77,0x0bc2156abe9702a7023a9563e5f5a4d0e199ba772bfc9ac9f0be99e0db4d5eac,0.01,39
40,2024-04-24T01:00:00.000Z,4.079207376757162e+76,0xe558a8e578e3ae215610e2026c07ace25ff904ae9fcd60ef0f9cb7fc9e2e3b9f,0.0018,40
41,2024-04-24T04:00:00.000Z,7.034982423178455e+75,0xa10ad4838da88ca27edb13cc4ad94b4f26d8c703a2e92123aa1a027a48946ab3,0.029,41
42,2024-04-24T01:00:00.000Z,1.1660846207283855e+76,0x43185a0ec4e0fa172fb2c7a0f558c5791a0dbed3159d22ad3f8cb7cb3ee60bd3,0.0018,42
43,2024-04-25T21:00:00.000Z,6.166830481659248e+75,0xbb39019905ae01068da2d3919571a1f862b374f689cdd53d12195dfc61ab114c,0.1,43
44,2024-04-27T16:00:00.000Z,6.617313701526278e+76,0xad3da1f12a878527601852545c6499139058a7e6e54323c1e4a4ac03246259bf,10.0,44
45,2024-04-27T00:00:00.000Z,2.4412675766045986e+76,0x5b4a281fe50188cec6739dd976f7682396267919cfa6d267d6e073f71389e9e1,0.3675,45
46,2024-04-28T07:00:00.000Z,1.6999556811054512e+76,0x4934e7a872eb7fb6c7b835928e93e089326f1223920649e6e7ef19c27e50dd7f,0.095,46
47,2024-04-28T01:00:00.000Z,1.1416291180210618e+77,0x1be6af9385615273d7b414ac77c8799458845344bed752c6db6c24e7ce0bf6c7,0.069,47
48,2024-05-07T22:00:00.000Z,8.946286315195508e+76,0x2704237f43b708a56fecf65a4b5418e84c47f1565bc1e9652eca0f411559b2e8,0.055,48
49,2024-05-08T08:00:00.000Z,7.359835105716253e+76,0xaf04549f884f0519383fb79c5b747ab4dd65cb78191eb27c48b4909656a04b05,0.002,49
50,2024-05-08T08:00:00.000Z,9.257059783138785e+76,0xaf04549f884f0519383fb79c5b747ab4dd65cb78191eb27c48b4909656a04b05,0.002,50
51,2024-05-08T08:00:00.000Z,8.413258573331431e+76,0xaf04549f884f0519383fb79c5b747ab4dd65cb78191eb27c48b4909656a04b05,0.002,51
52,2024-05-09T02:00:00.000Z,9.257059783138785e+76,0xf18afd532382eda2e4249445373dbd40e16654356c0f8de77e86e0dc66e310b6,0.002,52
53,2024-05-09T02:00:00.000Z,8.413258573331431e+76,0xf18afd532382eda2e4249445373dbd40e16654356c0f8de77e86e0dc66e310b6,0.002,53
54,2024-05-10T01:00:00.000Z,8.413258573331431e+76,0x415fdec1a41f339852be42bb3aab0133de247c9da639affa1607ed17337cf27d,0.002,54
55,2024-05-10T01:00:00.000Z,9.257059783138785e+76,0x415fdec1a41f339852be42bb3aab0133de247c9da639affa1607ed17337cf27d,0.002,55
56,2024-05-16T11:00:00.000Z,1.0912434375937702e+77,0xe801a2b8c7c370bea9f14698c73cf86ff629b261fc5d4a1c156851d143be150c,0.0002,56
57,2024-05-21T13:00:00.000Z,9.257059783138785e+76,0xef9d75ad00e55533041856312a9ba6ffe64acbc6bdb2f70c1b8d970b649daa80,0.002,57
58,2024-06-01T12:00:00.000Z,6.743535987979675e+76,0x0a90353995c97ca419879ead36e3d53ecd13240a3a0554293fa40a248d252e43,0.001,58
59,2024-07-02T01:00:00.000Z,8.495527722319637e+76,0x596008a1a5243710dd3fdbb8b81084eb49db662c9145cf69803cd060e6a5cf7c,0.00123,59
60,2024-07-05T05:00:00.000Z,6.620048739798377e+76,0xad9e0f9b349e63529c8f65dd30f92f16f989cde86133b00771868f312ce17587,0.0015,60
61,2024-07-06T14:00:00.000Z,1.0283705396531161e+77,0x4bcb45c65331693a44c35675cb5cff6c071aab5559337bba990500c9a6b93dd2,0.0015,61
62,2024-07-06T14:00:00.000Z,8.393508073830225e+76,0xc603df89a7aa1c32a66891d5e6a7ae7334207727103c25b930e542d92212159a,0.0016,62
63,2024-07-09T19:00:00.000Z,1.1230584826744178e+77,0x828d861d5c1992dc204b51ec37fa8b3e25ddc4a7dcd5e9d0cf6cd9a4880a7a21,0.002,63
64,2024-07-09T00:00:00.000Z,3.174521679764724e+76,0xfeb0dc23d1a4877a2bd8cd1df0f6381f07941375c4a0ed115478ddf3bf58e08b,0.0049,64
