,order_hash,chain,type,price,protocol_address,chain,order_hash,currency,price_string,price_in_eth,primary_recipient,identifier_or_criteria,start_time,end_time
12,0x09079c53f0de1b0f74eebb122d7dde6f2b15597c2493a50a8e21300a4ec1716c,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '4520000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x09079c53f0de1b0f74eebb122d7dde6f2b15597c2493a50a8e21300a4ec1716c,ETH,4520000000000000000,4.52,0x22aA1F4173b826451763EbfCE22cf54A0603163c,35680721375902820064586060336879673143607970522550819499855905895044891574921,1706123455,1721844648
13,0x62f70b03d872b0ad28daf741f24172dd3e0a07ae830d966c5ca46ec88040c0d9,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '1500000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x62f70b03d872b0ad28daf741f24172dd3e0a07ae830d966c5ca46ec88040c0d9,ETH,1500000000000000000,1.5,0x22aA1F4173b826451763EbfCE22cf54A0603163c,14048860107254168430508050005767095859568932801280631025495109531942896519352,1706123508,1721844704
14,0x49e904f3f1968a867549eb12af481ed707206deaaab5f5afc3d11508a80556d2,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '15000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x49e904f3f1968a867549eb12af481ed707206deaaab5f5afc3d11508a80556d2,ETH,15000000000000000000,15.0,0x22aA1F4173b826451763EbfCE22cf54A0603163c,83025402216097858127054385291623817910508610779843254059095676069560715432806,1706123545,1721844742
15,0xcb2de7a4cd7972fb0799f115f5520d07eda3e90202560c5e431d6d11e0bef8f6,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '32000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xcb2de7a4cd7972fb0799f115f5520d07eda3e90202560c5e431d6d11e0bef8f6,ETH,32000000000000000000,32.0,0x3F1c0EA76342Cc3427962452891F8DE8649a301B,102970000717591217057144997452576654638389051654765859831137408665135664650381,1706149250,1721870447
16,0x8ec799a93294ec3d13926e54aa712112d8f14f504d47efb5c5c63c94597a515b,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '6900000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x8ec799a93294ec3d13926e54aa712112d8f14f504d47efb5c5c63c94597a515b,ETH,6900000000000000000,6.9,0xDbc9d26CE0e9e77fDD3b6D8939f205C421553507,39332446229392019767899492270026730208017410104969101096814986167039267419138,1706152363,1721877156
17,0xf641b6fc580cf19503b177a30dded4c61c25d0d7ae3bc2f5c4ea8d966df40cee,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '333000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xf641b6fc580cf19503b177a30dded4c61c25d0d7ae3bc2f5c4ea8d966df40cee,ETH,333000000000000000000,333.0,0x3F1c0EA76342Cc3427962452891F8DE8649a301B,103630415007535906696789966598750240449816803150000344924356827948236583331116,1706153037,1721874234
18,0x00d43e3c08cb7b748ffd9bc3ea5301af2f8b472bd318ed3328ab787af9744f9c,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '10000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x00d43e3c08cb7b748ffd9bc3ea5301af2f8b472bd318ed3328ab787af9744f9c,ETH,10000000000000000000,10.0,0x64233eAa064ef0d54ff1A963933D0D2d46ab5829,78981151802741664383452092406733965988862860259901178338728579983735885303165,1706154700,1721875897
19,0x6c58cb14dae3e1692fce3ced6484d14030bc693c1582a683262287a1be93b4c6,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '10000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x6c58cb14dae3e1692fce3ced6484d14030bc693c1582a683262287a1be93b4c6,ETH,10000000000000000000,10.0,0x64233eAa064ef0d54ff1A963933D0D2d46ab5829,114639315223206080746078886988769338619246478696957374101744619098431090377161,1706154732,1721875930
20,0x8f1582a9bad6714816aae4c979c98c888b5c2301d376dd9dd8039eb48ffe652c,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '6900000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x8f1582a9bad6714816aae4c979c98c888b5c2301d376dd9dd8039eb48ffe652c,ETH,6900000000000000000,6.9,0xDbc9d26CE0e9e77fDD3b6D8939f205C421553507,78564235955905358666803995379510205700654173262072233603184366686458850004510,1706157154,1721881950
21,0x12a448ab3df4272d8ac2b42bdb548cbb7161b4ed402e7e61a5b1934b7ef1b5c7,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '6900000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x12a448ab3df4272d8ac2b42bdb548cbb7161b4ed402e7e61a5b1934b7ef1b5c7,ETH,6900000000000000000,6.9,0xDbc9d26CE0e9e77fDD3b6D8939f205C421553507,104210032300682675190703604047613238347663924416742256715446423698972102669749,1706157179,1721881975
